image_name,biomarker_id,crop_path,x_px,y_px
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000001.jpg,782.64,1756.87
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000002.jpg,757.82,1191.08
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000003.jpg,1187.93,1162.72
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000004.jpg,1219.44,1143.81
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000005.jpg,1952.05,1208.41
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000006.jpg,704.25,1069.77
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000007.jpg,527.79,1146.96
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000008.jpg,655.41,1077.64
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000009.jpg,1013.05,477.38
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000010.jpg,1178.47,414.36
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000011.jpg,1129.63,141.80
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000012.jpg,965.78,160.70
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000013.jpg,1903.20,70.90
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000014.jpg,1884.30,66.17
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000015.jpg,787.70,709.14
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000016.jpg,229.45,1338.44
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000017.jpg,123.62,1331.33
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000018.jpg,411.43,431.80
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000019.jpg,291.26,423.65
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000020.jpg,410.41,237.29
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000021.jpg,756.99,486.81
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000022.jpg,1571.80,948.55
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000023.jpg,1932.80,868.20
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000024.jpg,1695.29,1149.41
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000025.jpg,1840.65,1484.43
1a RGB,1,data/processed/positives/crops/1a-RGB/0000000026.jpg,1169.96,435.55
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000001.png,57.72,194.67
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000002.png,156.52,469.57
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000003.png,184.89,449.02
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000004.png,895.06,174.45
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000005.png,1070.85,280.46
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000006.png,1175.52,352.93
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000007.png,1150.03,476.38
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000008.png,916.53,524.69
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000009.png,815.89,350.24
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000010.png,1319.11,174.45
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000011.png,1410.36,12.08
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000012.png,1563.34,607.89
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000013.png,1765.97,646.81
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000014.png,1983.36,772.95
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000015.png,1313.74,727.32
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000016.png,1219.81,758.19
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000017.png,1125.87,715.25
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000018.png,1021.20,735.37
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000019.png,959.48,709.88
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000020.png,807.84,789.05
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000021.png,1172.84,968.87
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000022.png,1484.17,1014.49
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000023.png,1745.84,1238.60
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000024.png,1724.37,1600.91
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000025.png,1716.32,1608.97
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000026.png,1706.93,1622.39
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000027.png,2039.72,1630.44
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000028.png,503.22,1158.08
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000029.png,535.43,253.62
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000030.png,1731.08,1112.45
1b RGB,1,data/processed/positives/crops/1B-RGB/1B/0000000031.png,1756.50,1101.68
1c RGB,1,data/processed/positives/crops/1C-rgb/0000000001.png,405.15,184.05
1c RGB,1,data/processed/positives/crops/1C-rgb/0000000002.png,1307.10,69.82
1c RGB,1,data/processed/positives/crops/1C-rgb/0000000003.png,1435.37,38.97
