survey id,image,class,x,y,chip name
,1b RGB marked.png,false,958.0082695298321,215.5236507422826,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000001.png
,1b RGB marked.png,false,490.85229357535565,120.73838025876564,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000002.png
,1b RGB marked.png,false,390.4250427059151,95.91366656070169,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000003.png
,1b RGB marked.png,false,10.15556469466253,119.60998418158093,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000004.png
,1b RGB marked.png,false,128.63715279905873,854.1958304288373,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000005.png
,1b RGB marked.png,false,1359.7172730075945,1360.8456690847793,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000006.png
,1b RGB marked.png,false,1710.6484530120442,1284.1147358362177,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000007.png
,1b RGB marked.png,false,1729.8311863241845,1361.9740651619638,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000008.png
,1b RGB marked.png,false,1657.6138373843621,1820.1028724989626,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000009.png
,1b RGB marked.png,false,1831.3868332708098,1875.394280281014,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000010.png
,1b RGB marked.png,false,1776.095425488758,1894.5770135931543,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000011.png
,1b RGB marked.png,false,1884.421448898492,2006.2882252344423,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000012.png
,1b RGB marked.png,false,1912.63135082811,1902.4757861334474,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000013.png
,1b RGB marked.png,false,1033.6108067012087,1987.105491922302,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000014.png
,1b RGB marked.png,false,288.8693957592898,1192.714653584255,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000015.png
,1b RGB marked.png,false,668.0104776933576,461.5139955685528,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000016.png
,1b RGB marked.png,false,753.7685795593967,269.68666244714944,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000017.png
,1b RGB marked.png,false,1814.4608921130389,517.933799427789,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000018.png
,1b RGB marked.png,false,785.1914341801681,1531.238427360152,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000019.png
,1b RGB marked.png,false,712.659087621003,909.5325997101654,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000020.png
,1b RGB marked.png,false,848.5133240334075,427.1349297373055,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000021.png
,1b RGB marked.png,false,74.83496073564652,581.4100795615615,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000022.png
,1b RGB marked.png,false,1023.8384187483172,1506.662373519029,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000023.png
,1b RGB marked.png,false,1213.2015645802514,607.4444551444931,C:/Users/cjcar/Desktop/marked/false positives/negative\false\0000000024.png
