survey id,image,class,x,y,chip name
,1b RGB.tif,1B,57.71745934799872,194.67414254663976,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000001.png
,1b RGB.tif,1B,156.52192365558975,469.56577096676926,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000002.png
,1b RGB.tif,1B,184.89152231816539,449.0222684869731,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000003.png
,1b RGB.tif,1B,895.0627835929214,174.4500177917238,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000004.png
,1b RGB.tif,1B,1070.8547245984278,280.46195168054055,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000005.png
,1b RGB.tif,1B,1175.5247352734618,352.92580522479506,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000006.png
,1b RGB.tif,1B,1150.0281942115946,476.3827408927842,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000007.png
,1b RGB.tif,1B,916.5335550134412,524.6919765889539,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000008.png
,1b RGB.tif,1B,815.8893139797544,350.2419587972301,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000009.png
,1b RGB.tif,1B,1319.1105191481884,174.4500177917238,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000010.png
,1b RGB.tif,1B,1410.3612976853979,12.077308924042416,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000011.png
,1b RGB.tif,1B,1563.3405440566019,607.8912158434683,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000012.png
,1b RGB.tif,1B,1765.970949337758,646.8069890431606,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000013.png
,1b RGB.tif,1B,1983.3625099705214,772.9477711387146,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000014.png
,1b RGB.tif,1B,1313.7428262930584,727.32238187011,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000015.png
,1b RGB.tif,1B,1219.8082013282842,758.1866157871073,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000016.png
,1b RGB.tif,1B,1125.8735763635098,715.2450729460676,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000017.png
,1b RGB.tif,1B,1021.2035656884755,735.373921152805,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000018.png
,1b RGB.tif,1B,959.475097854481,709.8773800909377,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000019.png
,1b RGB.tif,1B,807.8377746970594,789.0508497041046,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000020.png
,1b RGB.tif,1B,1172.8408888458969,968.8685603509583,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000021.png
,1b RGB.tif,1B,1484.1670744434348,1014.4939496195631,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000022.png
,1b RGB.tif,1B,1745.8421011310206,1238.595126321239,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000023.png
,1b RGB.tif,1B,1724.3713297105007,1600.9143940425115,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000024.png
,1b RGB.tif,1B,1716.3197904278056,1608.9659333252064,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000025.png
,1b RGB.tif,1B,1706.9263279313284,1622.3851654630314,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000026.png
,1b RGB.tif,1B,2039.723284949386,1630.4367047457263,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000027.png
,1b RGB.tif,1B,503.22120516843404,1158.0797334942895,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000028.png
,1b RGB.tif,1B,535.4273622992139,253.62348740489077,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000029.png
,1b RGB.tif,1B,1731.0809457794132,1112.454344225685,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000030.png
,1b RGB.tif,1B,1756.5013549503235,1101.677649824843,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/1B-RGB\1B\0000000031.png
