survey id,image,class,x,y,chip name
,2c RGB.tif,2c RGB,115.0115562403698,296.19414483821265,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000001.png
,2c RGB.tif,2c RGB,96.10554699537751,642.8043143297381,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000002.png
,2c RGB.tif,2c RGB,122.88906009244992,641.228813559322,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000003.png
,2c RGB.tif,2c RGB,439.56471494607086,1118.6055469953776,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000004.png
,2c RGB.tif,2c RGB,557.7272727272727,1211.5600924499229,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000005.png
,2c RGB.tif,2c RGB,264.68412942989215,1181.6255778120185,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000006.png
,2c RGB.tif,2c RGB,1323.4206471494608,1572.3497688751927,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000007.png
,2c RGB.tif,2c RGB,1740.9283513097073,1703.1163328197226,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000008.png
,2c RGB.tif,2c RGB,2045.0,1758.2588597842835,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000009.png
,2c RGB.tif,2c RGB,1636.9453004622496,1106.0015408320494,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000010.png
,2c RGB.tif,2c RGB,1145.3890600924499,586.0862865947612,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000011.png
,2c RGB.tif,2c RGB,916.9414483821264,557.7272727272727,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000012.png
,2c RGB.tif,2c RGB,2044.0840523018232,35.36477599138102,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/2c RGB/2c\2c RGB\0000000013.png
