survey id,image,class,x,y,chip name
,/data/raw/4c RGB,4c RGB,1407.808936825886,39.368258859784284,0000000001.png
,/data/raw/4c RGB,4c RGB,1722.7550077041603,261.40523882896764,0000000002.png
,/data/raw/4c RGB,4c RGB,1273.9568567026195,207.864406779661,0000000003.png
,/data/raw/4c RGB,4c RGB,1266.0832049306625,229.9106317411402,0000000004.png
,/data/raw/4c RGB,4c RGB,777.9167950693375,395.2573189522342,0000000005.png
,/data/raw/4c RGB,4c RGB,544.8567026194145,651.9383667180277,0000000006.png
,/data/raw/4c RGB,4c RGB,670.8351309707242,548.0061633281972,0000000007.png
,/data/raw/4c RGB,4c RGB,434.6255778120185,508.63790446841296,0000000008.png
,/data/raw/4c RGB,4c RGB,1091.2881355932204,738.5485362095532,0000000009.png
,/data/raw/4c RGB,4c RGB,1143.2542372881355,417.3035439137134,00000000010.png
,/data/raw/4c RGB,4c RGB,1303.8767334360555,437.7750385208012,00000000011.png
,/data/raw/4c RGB,4c RGB,749.5716486902927,1182.62249614792,00000000012.png
,/data/raw/4c RGB,4c RGB,751.1463790446841,1209.3929121725732,00000000013.png
,/data/raw/4c RGB,4c RGB,1037.7473035439136,1286.5546995377504,00000000014.png
,/data/raw/4c RGB,4c RGB,1269.2326656394453,1651.8921417565484,00000000015.png
,/data/raw/4c RGB,4c RGB,1558.9830508474577,1505.442218798151,00000000016.png
,/data/raw/4c RGB,4c RGB,1776.295839753467,1286.5546995377504,00000000017.png
,/data/raw/4c RGB,4c RGB,1558.9830508474577,1248.7611710323574,00000000018.png
,/data/raw/4c RGB,4c RGB,1445.6024653312788,999.9537750385208,00000000019.png
,/data/raw/4c RGB,4c RGB,642.4899845916794,1683.386748844376,00000000020.png
,/data/raw/4c RGB,4c RGB,828.3081664098613,1061.3682588597842,00000000021.png
