survey id,image,class,x,y,chip name
,5b RGB.tif,5b RGB,582.9352850539291,272.56163328197226,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000001.png
,5b RGB.tif,5b RGB,1295.0616332819723,346.6101694915254,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000002.png
,5b RGB.tif,5b RGB,1422.6771956856703,250.50462249614793,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000003.png
,5b RGB.tif,5b RGB,1670.0308166409861,264.68412942989215,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000004.png
,5b RGB.tif,5b RGB,2037.12249614792,557.7272727272727,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000005.png
,5b RGB.tif,5b RGB,1586.5292758089367,779.8728813559322,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000006.png
,5b RGB.tif,5b RGB,1372.2611710323574,869.6764252696456,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000007.png
,5b RGB.tif,5b RGB,1050.8590138674886,887.0069337442219,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000008.png
,5b RGB.tif,5b RGB,532.5192604006163,972.0839753466872,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000009.png
,5b RGB.tif,5b RGB,942.1494607087827,1161.1440677966102,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000010.png
,5b RGB.tif,5b RGB,1022.5,1455.7627118644068,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000011.png
,5b RGB.tif,5b RGB,1192.6540832049307,1539.2642526964562,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000012.png
,5b RGB.tif,5b RGB,1749.829074234571,1246.289743918266,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000013.png
,5b RGB.tif,5b RGB,1150.384723958793,805.463250506228,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000014.png
,5b RGB.tif,5b RGB,646.206633327186,43.431403054576656,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000015.png
,5b RGB.tif,5b RGB,523.5157229077371,397.60687815777504,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/5b RGB/5b\5b RGB\0000000016.png
