survey id,image,class,x,y
,6a RGB.tif,6a RGB,241.05161787365176,80.35053929121726
,6a RGB.tif,6a RGB,672.7388289676426,100.83204930662558
,6a RGB.tif,6a RGB,812.9583975346687,105.55855161787365
,6a RGB.tif,6a RGB,803.5053929121726,28.359013867488443
,6a RGB.tif,6a RGB,1025.651001540832,167.0030816640986
,6a RGB.tif,6a RGB,1052.4345146379044,152.82357473035438
,6a RGB.tif,6a RGB,636.502311248074,244.20261941448382
,6a RGB.tif,6a RGB,291.46764252696454,436.4137134052388
,6a RGB.tif,6a RGB,1539.2205662016897,121.9930194347719
,6a RGB.tif,6a RGB,1506.0866596885419,650.6294369854501
,6a RGB.tif,6a RGB,1918.7544044432022,882.5667825774855
,6a RGB.tif,6a RGB,1506.0866596885419,891.6033025356168
,6a RGB.tif,6a RGB,542.1911974878751,1370.5388603165732
,6a RGB.tif,6a RGB,730.4520299489428,1331.380607164671
,6a RGB.tif,6a RGB,909.7649819959552,929.24924025946
,6a RGB.tif,6a RGB,217.32441909293823,1675.6462106614133
,6a RGB.tif,6a RGB,656.4696245703927,1593.2128103158161
,6a RGB.tif,6a RGB,981.7068586612037,1761.0771892013959
,6a RGB.tif,6a RGB,1321.9319837239414,1103.1087755338106
,6a RGB.tif,6a RGB,1287.4598344885098,939.7407639398087
,6a RGB.tif,6a RGB,1065.6390481039937,578.5325915163735
,6a RGB.tif,6a RGB,930.7480293566526,505.0919257539323
,6a RGB.tif,6a RGB,413.665790825179,1491.295151706714
,6a RGB.tif,6a RGB,627.9926317237318,1068.636626298379
,6a RGB.tif,6a RGB,654.9708354732,1326.4283510155194
