survey id,image,class,x,y,chip name
,3b RGB.tif,3b RGB,263.1086286594761,118.16255778120185,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000001.png
,3b RGB.tif,3b RGB,159.1255778120185,255.231124807396,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000002.png
,3b RGB.tif,3b RGB,656.9838212634822,118.16255778120185,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000003.png
,3b RGB.tif,3b RGB,1841.7604006163328,26.78351309707242,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000004.png
,3b RGB.tif,3b RGB,998.8674884437596,225.29661016949152,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000005.png
,3b RGB.tif,3b RGB,1148.540061633282,289.89214175654854,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000006.png
,3b RGB.tif,3b RGB,1186.3520801232667,354.48767334360554,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000007.png
,3b RGB.tif,3b RGB,1361.2326656394453,313.5246533127889,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000008.png
,3b RGB.tif,3b RGB,1320.2696456086287,411.2057010785824,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000009.png
,3b RGB.tif,3b RGB,1191.0785824345146,512.037750385208,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000010.png
,3b RGB.tif,3b RGB,1520.3582434514637,499.4337442218798,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000011.png
,3b RGB.tif,3b RGB,1679.4838212634822,806.6563944530046,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000012.png
,3b RGB.tif,3b RGB,1685.7858243451465,910.6394453004623,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000013.png
,3b RGB.tif,3b RGB,1580.2272727272727,1076.0670261941448,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000014.png
,3b RGB.tif,3b RGB,1239.9191063174114,1156.417565485362,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000015.png
,3b RGB.tif,3b RGB,1458.913713405239,1347.053158705701,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000016.png
,3b RGB.tif,3b RGB,348.1856702619414,1460.4892141756548,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000017.png
,3b RGB.tif,3b RGB,294.6186440677966,962.6309707241911,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000018.png
,3b RGB.tif,3b RGB,463.19722650231125,800.3543913713405,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000019.png
,3b RGB.tif,3b RGB,557.7272727272727,630.2003081664099,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000020.png
,3b RGB.tif,3b RGB,575.057781201849,239.47611710323574,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000021.png
,3b RGB.tif,3b RGB,780.9993104214096,822.5989300486668,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000022.png
,3b RGB.tif,3b RGB,1813.5764423900016,1871.3448039719226,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000023.png
,3b RGB.tif,3b RGB,1951.1508974362857,534.1139328177542,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000024.png
,3b RGB.tif,3b RGB,2036.990636639139,602.2407099628759,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000025.png
,3b RGB.tif,3b RGB,1127.7621554475538,811.2135308006544,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000026.png
,3b RGB.tif,3b RGB,861.04917433107,909.9619355738854,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000027.png
,3b RGB.tif,3b RGB,588.8744223002643,563.6760749274157,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000028.png
,3b RGB.tif,3b RGB,1712.6127168801786,13.272748555821384,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025/3b RGB/3b\3b RGB\0000000029.png
