image_name,biomarker_id,x_px,y_px,probability
1a RGB,1,782.64,1756.87,0.996687
1a RGB,1,757.82,1191.08,0.945913
1a RGB,1,1187.93,1162.72,0.969542
1a RGB,1,1219.44,1143.81,0.969695
1a RGB,1,1952.05,1208.41,0.909377
1a RGB,1,704.25,1069.77,0.515841
1a RGB,1,527.79,1146.96,0.897366
1a RGB,1,655.41,1077.64,0.840795
1a RGB,1,1013.05,477.38,0.996166
1a RGB,1,1178.47,414.36,0.995723
1a RGB,1,1129.63,141.80,0.983873
1a RGB,1,965.78,160.70,0.969891
1a RGB,1,1903.20,70.90,0.795419
1a RGB,1,1884.30,66.17,0.778253
1a RGB,1,787.70,709.14,0.719203
1a RGB,1,229.45,1338.44,0.871866
1a RGB,1,123.62,1331.33,0.935015
1a RGB,1,411.43,431.80,0.988227
1a RGB,1,291.26,423.65,0.914734
1a RGB,1,410.41,237.29,0.969226
1a RGB,1,756.99,486.81,0.846802
1a RGB,1,1571.80,948.55,0.923042
1a RGB,1,1932.80,868.20,0.917034
1a RGB,1,1695.29,1149.41,0.973604
1a RGB,1,1840.65,1484.43,0.925209
1a RGB,1,1169.96,435.55,0.984584
1b RGB,1,57.72,194.67,0.993226
1b RGB,1,156.52,469.57,0.997625
1b RGB,1,184.89,449.02,0.995609
1b RGB,1,895.06,174.45,0.997856
1b RGB,1,1070.85,280.46,0.991545
1b RGB,1,1175.52,352.93,0.998759
1b RGB,1,1150.03,476.38,0.999267
1b RGB,1,916.53,524.69,0.997799
1b RGB,1,815.89,350.24,0.979470
1b RGB,1,1319.11,174.45,0.999557
1b RGB,1,1410.36,12.08,0.998099
1b RGB,1,1563.34,607.89,0.992942
1b RGB,1,1765.97,646.81,0.997888
1b RGB,1,1983.36,772.95,0.994755
1b RGB,1,1313.74,727.32,0.987985
1b RGB,1,1219.81,758.19,0.990334
1b RGB,1,1125.87,715.25,0.990496
1b RGB,1,1021.20,735.37,0.993048
1b RGB,1,959.48,709.88,0.993247
1b RGB,1,807.84,789.05,0.991278
1b RGB,1,1172.84,968.87,0.994537
1b RGB,1,1484.17,1014.49,0.959927
1b RGB,1,1745.84,1238.60,0.990823
1b RGB,1,1724.37,1600.91,0.860923
1b RGB,1,1716.32,1608.97,0.944155
1b RGB,1,1706.93,1622.39,0.953409
1b RGB,1,2039.72,1630.44,0.985068
1b RGB,1,503.22,1158.08,0.973435
1b RGB,1,535.43,253.62,0.999018
1b RGB,1,1731.08,1112.45,0.878639
1b RGB,1,1756.50,1101.68,0.934215
1c RGB,1,405.15,184.05,0.995547
1c RGB,1,1307.10,69.82,0.998889
1c RGB,1,1435.37,38.97,0.997995
1c RGB,1,1855.92,55.21,0.971123
1c RGB,1,1894.71,255.09,0.981271
1c RGB,1,1928.52,421.05,0.995558
1c RGB,1,1777.92,365.73,0.999240
1c RGB,1,2009.96,628.50,0.989182
1c RGB,1,1553.57,444.10,0.998851
