x,y,score
678,1414,0.9380795955657959
1234,1253,0.93751460313797
1748,776,0.9365189075469971
1942,710,0.9344220161437988
1699,1365,0.9330781698226929
789,1965,0.9329099655151367
1213,1559,0.9321185350418091
1439,42,0.9309526085853577
990,741,0.930226743221283
1461,961,0.9295036792755127
1159,1353,0.929419219493866
1127,1841,0.9286948442459106
622,184,0.9280555844306946
793,747,0.927788496017456
470,127,0.9277754426002502
1222,1597,0.9273481965065002
1028,878,0.9272328615188599
1023,1057,0.9270544648170471
1775,236,0.9269850254058838
673,601,0.9266751408576965
1178,314,0.9266658425331116
1712,1986,0.9265682697296143
1306,72,0.9255450367927551
723,822,0.9235804677009583
615,768,0.9235237240791321
677,1092,0.9228530526161194
1738,640,0.9206644296646118
356,687,0.9205181002616882
